Universitas,Program,Tahun,Penerimaan,Program_Studi,UKT-1,UKT-2,UKT-3,UKT-4,UKT-5,UKT-6,UKT-7,UKT-8,UKT-9,UKT-10,UKT-11
UI,S1,2025/2026,SNBP/SNBT,Antropologi Sosial,500000,1000000,2000000,3000000,4000000,5000000,7500000,7800000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Hubungan Internasional,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Komunikasi,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Politik,500000,1000000,2000000,3000000,4000000,5000000,7500000,,,,
UI,S1,2025/2026,SNBP/SNBT,Kesejahteraan Sosial,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Kriminologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sosiologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Fiskal,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Negara,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Ilmu Administrasi Niaga,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
IPB,S1,2025/2026,SNBP/SNBT,Manajemen Sumberdaya Lahan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Agronomi Dan Hortikultura,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Proteksi Tanaman,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Arsitektur Lanskap,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Smart Agriculture,500000,1000000,2500000,5000000,7000000,8500000,10000000,11000000,,,
IPB,S1,2025/2026,SNBP/SNBT,Kedokteran Hewan,500000,1000000,2400000,5000000,8000000,10000000,12000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Sains Biomedis,500000,1000000,2400000,5000000,8000000,10000000,12000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi dan Manajemen Perikanan Budidaya,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Manajemen Sumberdaya Perairan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Hasil Perairan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi dan Manajemen Perikanan Tangkap,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Ilmu Dan Teknologi Kelautan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Produksi Ternak,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Ilmu Nutrisi dan Teknologi Pakan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Hasil Ternak,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Manajemen Hutan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Hasil Hutan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Konservasi Sumberdaya Hutan dan Ekowisata,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Silvikultur,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknik Pertanian Dan Biosistem,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Pangan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknologi Industri Pertanian,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknik Sipil Dan Lingkungan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknik Mesin,500000,1000000,2500000,5000000,7500000,10000000,12500000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Teknik Kimia,500000,1000000,2500000,5000000,7500000,10000000,12500000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Meteorologi Terapan,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Biologi,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Kimia,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Fisika,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Biokimia,500000,1000000,2400000,4000000,7000000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Bioinformatika,500000,1000000,2500000,5000000,7500000,9000000,11000000,,,,
IPB,S1,2025/2026,SNBP/SNBT,Ekonomi dan Studi Pembangunan,500000,1000000,2400000,3000000,6000000,8000000,10000000,,,,
